test,subject,stimulus,result,section,signal_type,source,stimulus_signal
test_2,20,Hybrid,80,1,speech,horizontal,Hybrid_speech
test_2,2,Hybrid,68,1,speech,horizontal,Hybrid_speech
test_2,3,Hybrid,65,1,speech,horizontal,Hybrid_speech
test_2,4,Hybrid,81,1,speech,horizontal,Hybrid_speech
test_2,5,Hybrid,97,1,speech,horizontal,Hybrid_speech
test_2,6,Hybrid,77,1,speech,horizontal,Hybrid_speech
test_2,7,Hybrid,86,1,speech,horizontal,Hybrid_speech
test_2,8,Hybrid,77,1,speech,horizontal,Hybrid_speech
test_2,9,Hybrid,84,1,speech,horizontal,Hybrid_speech
test_2,10,Active,85,1,speech,horizontal,Active_speech
test_2,11,Active,78,1,speech,horizontal,Active_speech
test_2,12,Active,92,1,speech,horizontal,Active_speech
test_2,13,Active,67,1,speech,horizontal,Active_speech
test_2,14,Active,71,1,speech,horizontal,Active_speech
test_2,15,Active,69,1,speech,horizontal,Active_speech
test_2,17,Active,62,1,speech,horizontal,Active_speech
test_2,18,Active,80,1,speech,horizontal,Active_speech
test_2,19,Active,87,1,speech,horizontal,Active_speech
test_2,1,Active,79,1,speech,horizontal,Active_speech
test_2,20,Active,73,1,speech,horizontal,Active_speech
test_2,2,Active,68,1,speech,horizontal,Active_speech
test_2,3,Active,84,1,speech,horizontal,Active_speech
test_2,4,Active,81,1,speech,horizontal,Active_speech
test_2,5,Active,97,1,speech,horizontal,Active_speech
test_2,6,Active,91,1,speech,horizontal,Active_speech
test_2,7,Active,86,1,speech,horizontal,Active_speech
test_2,8,Active,77,1,speech,horizontal,Active_speech
test_2,9,Active,79,1,speech,horizontal,Active_speech
test_2,10,Reference,100,1,speech,horizontal,Reference_speech
test_2,11,Reference,100,1,speech,horizontal,Reference_speech
test_2,12,Reference,100,1,speech,horizontal,Reference_speech
test_2,13,Reference,99,1,speech,horizontal,Reference_speech
test_2,14,Reference,100,1,speech,horizontal,Reference_speech
test_2,15,Reference,100,1,speech,horizontal,Reference_speech
test_2,17,Reference,100,1,speech,horizontal,Reference_speech
test_2,18,Reference,100,1,speech,horizontal,Reference_speech
test_2,19,Reference,100,1,speech,horizontal,Reference_speech
test_2,1,Reference,100,1,speech,horizontal,Reference_speech
test_2,20,Reference,100,1,speech,horizontal,Reference_speech
test_2,2,Reference,100,1,speech,horizontal,Reference_speech
test_2,3,Reference,100,1,speech,horizontal,Reference_speech
test_2,4,Reference,100,1,speech,horizontal,Reference_speech
test_2,5,Reference,100,1,speech,horizontal,Reference_speech
test_2,6,Reference,100,1,speech,horizontal,Reference_speech
test_2,7,Reference,100,1,speech,horizontal,Reference_speech
test_2,8,Reference,100,1,speech,horizontal,Reference_speech
test_2,9,Reference,100,1,speech,horizontal,Reference_speech
test_3,10,Passive,49,1,speech,horizontal,Passive_speech
test_3,11,Passive,14,1,speech,horizontal,Passive_speech
test_3,12,Passive,62,1,speech,horizontal,Passive_speech
test_3,13,Passive,47,1,speech,horizontal,Passive_speech
test_3,14,Passive,40,1,speech,horizontal,Passive_speech
test_3,15,Passive,32,1,speech,horizontal,Passive_speech
test_3,17,Passive,50,1,speech,horizontal,Passive_speech
test_3,18,Passive,72,1,speech,horizontal,Passive_speech
test_3,19,Passive,39,1,speech,horizontal,Passive_speech
test_3,1,Passive,31,1,speech,horizontal,Passive_speech
test_3,20,Passive,69,1,speech,horizontal,Passive_speech
test_3,2,Passive,48,1,speech,horizontal,Passive_speech
test_3,3,Passive,55,1,speech,horizontal,Passive_speech
test_3,4,Passive,74,1,speech,horizontal,Passive_speech
test_3,5,Passive,55,1,speech,horizontal,Passive_speech
test_3,6,Passive,60,1,speech,horizontal,Passive_speech
test_3,7,Passive,65,1,speech,horizontal,Passive_speech
test_3,8,Passive,49,1,speech,horizontal,Passive_speech
test_3,9,Passive,60,1,speech,horizontal,Passive_speech
test_3,10,Anchor,29,1,speech,horizontal,Anchor_speech
test_3,11,Anchor,0,1,speech,horizontal,Anchor_speech
test_3,12,Anchor,0,1,speech,horizontal,Anchor_speech
test_3,13,Anchor,23,1,speech,horizontal,Anchor_speech
test_3,14,Anchor,0,1,speech,horizontal,Anchor_speech
test_3,15,Anchor,0,1,speech,horizontal,Anchor_speech
test_3,17,Anchor,0,1,speech,horizontal,Anchor_speech
test_3,18,Anchor,39,1,speech,horizontal,Anchor_speech
test_3,19,Anchor,20,1,speech,horizontal,Anchor_speech
test_3,1,Anchor,11,1,speech,horizontal,Anchor_speech
test_3,20,Anchor,0,1,speech,horizontal,Anchor_speech
test_3,2,Anchor,33,1,speech,horizontal,Anchor_speech
test_3,3,Anchor,32,1,speech,horizontal,Anchor_speech
test_3,4,Anchor,65,1,speech,horizontal,Anchor_speech
test_3,5,Anchor,31,1,speech,horizontal,Anchor_speech
test_3,6,Anchor,9,1,speech,horizontal,Anchor_speech
test_3,7,Anchor,31,1,speech,horizontal,Anchor_speech
test_3,8,Anchor,32,1,speech,horizontal,Anchor_speech
test_3,9,Anchor,30,1,speech,horizontal,Anchor_speech
test_3,10,Hybrid,85,1,speech,horizontal,Hybrid_speech
test_3,11,Hybrid,86,1,speech,horizontal,Hybrid_speech
test_3,12,Hybrid,86,1,speech,horizontal,Hybrid_speech
test_3,13,Hybrid,76,1,speech,horizontal,Hybrid_speech
test_3,14,Hybrid,61,1,speech,horizontal,Hybrid_speech
test_3,15,Hybrid,50,1,speech,horizontal,Hybrid_speech
test_3,17,Hybrid,60,1,speech,horizontal,Hybrid_speech
test_3,18,Hybrid,81,1,speech,horizontal,Hybrid_speech
test_3,19,Hybrid,79,1,speech,horizontal,Hybrid_speech
test_3,1,Hybrid,78,1,speech,horizontal,Hybrid_speech
test_3,20,Hybrid,72,1,speech,horizontal,Hybrid_speech
